feature,importance
volume_ma,21
sma_50,21
volatility,20
adx,19
volume_ratio,17
volatility_ma,16
macd_signal,16
volatility_ratio,15
bb_width,14
atr_ratio,14
ema_fast,13
price_bb_lower_dist,11
bb_upper,11
macd_hist,9
momentum_convergence,9
atr_ma,9
atr,8
bb_lower,8
ema_slow,8
atr_normalized,7
macd,6
bb_middle,6
price_sma_50_dist,6
momentum_ratio,5
price_ema_fast_dist,5
stoch_k,5
macd_strength,4
macd_hist_change,4
volume_change,4
rsi,4
momentum_20,4
stoch_d,3
price_bb_upper_dist,3
sma_20,3
return_3,3
range,3
return_5,2
range_pct,2
rsi_divergence,2
lower_shadow,2
momentum_10,2
price_sma_20_dist,2
rsi_normalized,2
return_1,2
ema_cross_pct,1
upper_shadow,1
high_volatility,1
log_return,1
bb_position_normalized,1
bb_position,1
ema_cross,1
low_volatility,0
stoch_oversold,0
stoch_overbought,0
signal_convergence,0
strong_trend,0
is_bullish,0
body,0
body_pct,0
volume_spike,0
ema_cross_signal,0
return_10,0
macd_cross_signal,0
rsi_overbought,0
bb_breakout_lower,0
bb_breakout_upper,0
rsi_oversold,0
price_ema_slow_dist,0
market_regime,0
