feature,importance
volume_ratio,83
adx,57
volatility,53
volume_ma,52
bb_width,49
volatility_ma,47
atr_ma,47
volatility_ratio,40
atr_ratio,39
rsi,38
price_bb_upper_dist,35
momentum_20,34
price_sma_50_dist,34
upper_shadow,32
range,30
sma_50,30
bb_upper,29
bb_lower,29
momentum_convergence,29
macd_strength,27
atr,27
ema_slow,25
lower_shadow,23
macd_hist,23
stoch_k,23
ema_fast,23
range_pct,22
return_5,21
body_pct,20
stoch_d,19
price_ema_fast_dist,19
price_sma_20_dist,18
atr_normalized,18
bb_middle,17
ema_cross_pct,17
body,17
macd_signal,15
macd,15
return_3,14
momentum_ratio,14
macd_hist_change,13
price_bb_lower_dist,12
price_ema_slow_dist,11
momentum_10,11
return_10,10
bb_position,9
rsi_normalized,8
rsi_divergence,7
return_1,6
volume_change,6
market_regime,4
bb_position_normalized,4
sma_20,3
is_bullish,2
ema_cross,2
signal_convergence,1
log_return,1
volume_spike,0
rsi_oversold,0
rsi_overbought,0
strong_trend,0
stoch_oversold,0
macd_cross_signal,0
stoch_overbought,0
ema_cross_signal,0
low_volatility,0
high_volatility,0
bb_breakout_lower,0
bb_breakout_upper,0
