feature,importance
ema_slow,0.00046456954822117133
macd_signal,0.00017847905939925857
ema_fast,0.00013960746868724172
atr_ma,0.0001314837791142054
ema_cross_pct,7.39102975268191e-05
macd,6.1007648126387704e-05
return_12,5.3003914533888974e-05
macd_strength,4.742341484842427e-05
macd_hist,3.158045415396771e-05
atr_ratio,3.117730022950127e-05
atr,2.0951899387000594e-05
range_pct,1.9573050394683378e-05
price_ema_slow_dist,1.5942201116558863e-05
ema_cross,1.4286390296547324e-05
atr_normalized,1.2567409612529445e-05
upper_shadow,2.697689978958806e-06
body,0.0
price_ema_fast_dist,0.0
macd_cross_signal,0.0
macd_hist_change,0.0
range,0.0
ema_cross_signal,0.0
body_pct,0.0
log_return,0.0
return_6,0.0
return_3,0.0
return_1,0.0
is_bullish,0.0
lower_shadow,0.0
signal_convergence,0.0
