combination_id,timestamp,use_ema,use_macd,use_rsi,use_bollinger,use_atr,prediction_horizon,learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,train_rmse,train_mae,train_r2,train_direction_acc,val_rmse,val_mae,val_r2,val_direction_acc,test_rmse,test_mae,test_r2,test_direction_acc,combined_score
0,2025-12-13T15:48:38.383285,True,True,False,False,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.016301477647435485,0.012622330334740351,0.05966075196028886,0.595660096074209,0.01657746505368757,0.013528925899174676,0.0034197412491632218,0.5303265940902022,0.018638269739315635,0.014218268924374331,0.005002072399251545,0.536547433903577,0.4820908358357387
1,2025-12-13T15:48:38.840045,True,True,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.01596600681411279,0.012360647473549423,0.09796531342362824,0.6427033294682789,0.016550682337784655,0.01352360741002993,0.006637309753775522,0.5139968895800933,0.018595788856260134,0.014220469689947187,0.00953255956621013,0.5427682737169518,0.4758275151393083
2,2025-12-13T15:48:39.156540,True,False,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.015956821367343763,0.012361278291801385,0.09900291891768742,0.647341394732483,0.01658046132900649,0.013548605539405722,0.003059457131397103,0.5147744945567652,0.01866802069137175,0.014275000916041638,0.0018230475270600843,0.5108864696734059,0.5077815510179658
3,2025-12-13T15:48:39.452195,True,True,True,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.01599976335582714,0.012400287544500411,0.09414698097819196,0.6251449395395063,0.01658478044429947,0.013529446523379573,0.0025399948690699725,0.5272161741835147,0.018598760032850558,0.014253343266904694,0.009216026743075756,0.5023328149300156,0.516265945102835
4,2025-12-13T15:48:39.799810,False,False,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.01650740411204116,0.012765649062904163,0.03575324948655556,0.5696538015570648,0.016603168505223007,0.013524476407207367,0.0003269389628073327,0.5031104199066874,0.018689496189375838,0.014219432689725657,-0.0004748583496505532,0.5272161741835147,0.4914733220058611
5,2025-12-13T15:48:40.108253,True,False,False,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.016765349742382647,0.01296290153483676,0.005383057318182005,0.5429849262878913,0.01662363312934695,0.013541418366509121,-0.002138920657537957,0.4984447900466563,0.018713055315813906,0.014241783385240733,-0.0029987540478719765,0.5124416796267496,0.5062713756890643
6,2025-12-13T15:48:40.318851,True,True,True,False,False,6,0.05,70,4,300,30,0.8,0.9,0.5,0.5,0.012738581172292969,0.009720838860942927,0.01096993525812795,0.5272305909617613,0.012959716243673517,0.010277564123194052,-0.0006635474051304158,0.5054263565891473,0.014462318377865555,0.010739696242156498,0.0010056854041251562,0.5085271317829457,0.5059351865949199
7,2025-12-13T15:48:40.552527,True,False,True,True,True,6,0.05,50,4,500,20,0.8,0.8,0.1,0.1,0.012581274469004214,0.009622289933312392,0.03524586269920327,0.5563648402582354,0.012957394049528823,0.010273979832534117,-0.00030497059727263576,0.49612403100775193,0.014467881638445161,0.010763972953431953,0.00023696568909281623,0.506201550387597,0.5082663312508482
8,2025-12-13T15:48:40.854511,True,True,True,False,False,10,0.03,31,4,300,30,0.9,0.9,0.3,0.5,0.01589431489031199,0.012334857959969142,0.1060479119762,0.6135497763789962,0.016496037832738827,0.013452881169194584,0.01318594645055593,0.5318818040435459,0.0186580294348206,0.014348322285824298,0.002891224315501373,0.5124416796267496,0.5062163498080711
9,2025-12-13T15:48:41.328667,True,False,False,True,True,10,0.05,50,8,800,10,0.9,0.7,0.5,0.5,0.016090550776903894,0.012457554110072886,0.0838376551551433,0.6412125227762133,0.01661413980410266,0.013547979895283535,-0.0009946564469387464,0.5085536547433903,0.01874123122595358,0.014288851884430496,-0.006021422220067407,0.5062208398133748,0.5125203914125788
10,2025-12-13T15:48:41.585274,False,False,True,True,True,6,0.05,50,4,500,20,0.8,0.7,0.3,0.1,0.012689449985618311,0.0096827036722649,0.018584364665113928,0.5422943221320974,0.012956965317684742,0.010274464848204726,-0.00023877588281306927,0.48914728682170544,0.014473781427989135,0.010750836106201025,-0.0005785779105025313,0.5317829457364341,0.482690835691555
11,2025-12-13T15:48:42.053483,True,True,True,True,True,16,0.05,31,8,800,20,0.7,0.8,0.3,0.3,0.02040050897984586,0.015858102290040147,0.07646629955122453,0.6050406234455314,0.02064119259642224,0.017001615011644666,-0.0010395122765074483,0.5125,0.02294736334620404,0.017693046354422298,0.015745038020879454,0.5671875,0.4557598633462041
12,2025-12-13T15:48:42.311927,True,False,False,True,True,10,0.03,50,4,800,20,0.8,0.8,0.3,0.3,0.016743814258883143,0.012949629656702884,0.007936633608064958,0.5501076693722048,0.016617124811328654,0.013539274830167007,-0.0013543795187063168,0.5038880248833593,0.018721319536533353,0.014247086743256162,-0.003884855571684165,0.5139968895800933,0.5047244299564401
13,2025-12-13T15:48:42.710395,True,True,True,False,False,10,0.05,70,6,800,10,0.8,0.7,0.1,0.3,0.01542286641513848,0.011988498463914546,0.1582932471303644,0.651979459996687,0.01638122136544943,0.013329009566239386,0.02687507568810721,0.5388802488335925,0.018716409633972194,0.014297870374737218,-0.0033583616490049373,0.5396578538102644,0.47905855582370777
14,2025-12-13T15:48:42.930956,False,False,True,True,True,10,0.01,31,4,300,30,0.7,0.7,0.1,0.5,0.016722198642733124,0.012931833131039057,0.010496411071759137,0.54795428192811,0.016626264921705963,0.01354270014937928,-0.002456255659696538,0.4984447900466563,0.01869065772562934,0.014227083044591231,-0.0005992195328841099,0.5101088646967341,0.5085817930288953
15,2025-12-13T15:48:43.227263,True,True,False,False,True,6,0.05,70,8,300,30,0.9,0.7,0.5,0.1,0.012779117145735167,0.00975285385454087,0.004665452208913123,0.5234232742923357,0.012955984447296289,0.010273917780467596,-8.734112371344693e-05,0.48914728682170544,0.014478127659517597,0.01074625468182674,-0.0011795817478319481,0.5085271317829457,0.5059509958765719
16,2025-12-13T15:48:43.505675,True,True,True,True,True,16,0.03,31,8,300,20,0.7,0.9,0.5,0.3,0.02091499022210257,0.016231419912058634,0.02929766637448128,0.5552976289172609,0.02065361191491006,0.01699146856877092,-0.0022444783706923044,0.515625,0.023113571307910384,0.017738705289767724,0.0014354675360898073,0.5359375,0.4871760713079104
17,2025-12-13T15:48:43.890773,False,False,True,True,True,16,0.03,70,8,300,30,0.7,0.9,0.3,0.5,0.020110168320422676,0.01563217223458799,0.10256675615762023,0.6307411706184712,0.02068825311212127,0.017003590439355433,-0.005609319822043934,0.51875,0.023056171632186564,0.01778518283570506,0.006388930540699556,0.565625,0.4574311716321865
18,2025-12-13T15:48:44.151704,True,True,False,False,True,6,0.03,70,8,500,30,0.9,0.7,0.5,0.5,0.012790971298180402,0.009762856243458287,0.002818013180580392,0.5234232742923357,0.012959873552937167,0.010274743806306769,-0.0006878403137424716,0.48914728682170544,0.014480332798026947,0.010747942566413114,-0.0014845808238048708,0.5085271317829457,0.5059532010150812
19,2025-12-13T15:48:44.576568,True,True,True,True,True,10,0.01,70,8,800,10,0.7,0.8,0.1,0.5,0.016244193007643983,0.01257441796281503,0.06625798810016237,0.5963226768262382,0.0165712234666464,0.013511176854838082,0.004170045522532084,0.5031104199066874,0.018675036531644724,0.014221428052894211,0.0010726341729836442,0.5233281493001555,0.49534688723148923
20,2025-12-13T15:48:44.811939,False,False,True,True,True,16,0.05,31,4,800,30,0.9,0.8,0.3,0.3,0.021001662241860536,0.016298303328216263,0.021235787830133024,0.560106118388327,0.02066988928088389,0.01698013661289385,-0.0038248633251276587,0.515625,0.023128954230390644,0.017763462960459067,0.00010586319335215144,0.53828125,0.4848477042303906
21,2025-12-13T15:48:45.067042,False,False,True,True,True,10,0.01,31,6,500,20,0.9,0.8,0.5,0.1,0.0167782755928411,0.012970310936183439,0.003848794560242119,0.5429849262878913,0.016624694353645154,0.013540800634112265,-0.0022668744099250127,0.4984447900466563,0.01871187415149062,0.014239686999565161,-0.0028721398808770893,0.5124416796267496,0.5062701945247411
22,2025-12-13T15:48:45.316410,True,False,False,True,True,6,0.01,31,8,500,10,0.7,0.7,0.5,0.5,0.01280268775036816,0.009773189107925736,0.0009903511873768922,0.5234232742923357,0.012967553572424828,0.010278188286463617,-0.0018742067142820673,0.48914728682170544,0.014482279454517693,0.010749494109820675,-0.0017538671074837087,0.5085271317829457,0.505955147671572
23,2025-12-13T15:48:45.597920,True,False,False,True,True,16,0.01,50,4,300,30,0.8,0.9,0.5,0.3,0.021210718756578657,0.01644622605564472,0.0016530099891923777,0.5524788592273255,0.02067004258037109,0.01698057515437132,-0.003839753236277721,0.515625,0.023192272059256634,0.017785485691735152,-0.0053762511712762695,0.53515625,0.4880360220592566
24,2025-12-13T15:48:45.900816,True,True,False,False,True,6,0.03,31,6,500,30,0.8,0.9,0.1,0.1,0.012171415524118276,0.009303686197978398,0.097079414879086,0.6282072504552226,0.012922353219711065,0.01028949499574445,0.005097986354938189,0.5015503875968992,0.014482928204333669,0.010793088512930803,-0.0018436184750361129,0.5217054263565891,0.49277750184774455
25,2025-12-13T15:48:46.168588,True,True,False,False,True,6,0.05,31,6,500,20,0.9,0.7,0.1,0.1,0.012068099255319197,0.009233936472012007,0.11234312155048765,0.6335043866909452,0.012901830178331289,0.010287221667627662,0.00825564669343537,0.5031007751937985,0.014482737164025324,0.010799189318190265,-0.0018171885640700935,0.5162790697674419,0.49820366739658345
26,2025-12-13T15:48:46.470007,True,False,True,True,True,10,0.03,31,6,500,30,0.9,0.9,0.5,0.1,0.01622937263642083,0.012567955188739169,0.06796100782058578,0.615703163823091,0.01658778487325514,0.013552336855816506,0.0021785708302979323,0.5101088646967341,0.01865952457670462,0.014212422623295163,0.002731413352475731,0.5256609642301711,0.49299856034653355
27,2025-12-13T15:48:46.811615,True,False,False,True,True,6,0.03,50,6,800,30,0.7,0.7,0.5,0.3,0.012752220195847909,0.00973269600859615,0.008850919705797211,0.5234232742923357,0.012963401849663637,0.010276460839460697,-0.0012327845576196594,0.48914728682170544,0.014462209532074775,0.010740708094453566,0.0010207225391307695,0.5085271317829457,0.505935077749129
28,2025-12-13T15:48:47.103678,False,False,True,True,True,16,0.05,70,6,800,30,0.9,0.9,0.1,0.1,0.020827417949346488,0.016169034589117812,0.037409422089502486,0.5778477864367435,0.020618975659290842,0.016929794799106324,0.001114245350693488,0.515625,0.02320216279286721,0.017841951281463125,-0.006233953170173612,0.52890625,0.49429591279286716
29,2025-12-13T15:48:47.342686,True,True,True,True,True,6,0.05,31,4,500,30,0.9,0.8,0.3,0.5,0.012770195620011393,0.009750275606237584,0.006054719244069751,0.5310379076311869,0.012956762110565852,0.010271082487371363,-0.00020740217129766592,0.49844961240310076,0.014487335862859139,0.010749382474727674,-0.0024535029462182667,0.5015503875968992,0.5129369482659599
30,2025-12-13T15:48:47.637869,True,True,True,False,False,10,0.01,31,6,300,20,0.7,0.7,0.5,0.5,0.016528482962904104,0.01277800515074211,0.03328912002318096,0.5708133178731157,0.016615474856280708,0.013539711841531053,-0.0011555355301045012,0.5062208398133748,0.01871782145535523,0.01425046126309898,-0.00350973856848924,0.5147744945567652,0.5039433268985901
31,2025-12-13T15:48:47.973249,True,True,False,False,True,6,0.05,70,8,500,10,0.9,0.7,0.3,0.3,0.012351725031122997,0.00942653715718895,0.07012920887669438,0.6230756497268665,0.012948115350612332,0.010294622519869652,0.001127139191566373,0.5007751937984496,0.014475553047353703,0.010756193735474803,-0.000823538480178243,0.5162790697674419,0.49819648327991184
32,2025-12-13T15:48:48.232620,True,False,True,True,True,10,0.01,70,4,300,20,0.8,0.8,0.3,0.3,0.016591871950996134,0.012841668079071653,0.025859965039644384,0.5633592844127878,0.01660585326427266,0.013549336742249353,3.615340520513044e-06,0.5038880248833593,0.01866804306083939,0.014220133160691999,0.0018206553398234515,0.531104199066874,0.4875638439939654
33,2025-12-13T15:48:48.514333,True,False,True,True,True,6,0.01,31,4,500,10,0.9,0.9,0.1,0.1,0.012542889247106254,0.009592171065619805,0.041123774243856936,0.5702698228770071,0.012949382500717711,0.010274124210590575,0.0009316228943059279,0.5007751937984496,0.01444880992267834,0.010741912942734612,0.0028710249950733013,0.5263565891472868,0.48809222077539155
34,2025-12-13T15:48:48.840765,True,True,True,False,False,16,0.05,50,8,500,20,0.8,0.8,0.3,0.1,0.020523261211476664,0.015916402453851706,0.06531884332953197,0.6025534737191179,0.02060926158240407,0.016936853304779752,0.0020552200594732284,0.51171875,0.023093964627406996,0.01779587589322565,0.0031288650203149526,0.53203125,0.491062714627407
35,2025-12-13T15:48:49.153842,True,False,True,True,True,10,0.05,70,6,300,20,0.7,0.9,0.1,0.1,0.01544867716366461,0.012006789944731498,0.1554736337566608,0.6629120424051681,0.016512974258095094,0.013483967657064904,0.011158589048677281,0.5093312597200622,0.018796002011570834,0.014435197748250198,-0.011910160054336538,0.5015552099533437,0.5172407920582272
36,2025-12-13T15:48:49.396881,True,True,True,False,False,6,0.05,70,4,300,20,0.7,0.8,0.1,0.3,0.012368604504339239,0.00945999403288277,0.06758600884350219,0.591292832312531,0.01291723636375885,0.010269605360543808,0.005885731792525384,0.5031007751937985,0.014469812479946482,0.01075174516892164,-2.9903064481251462e-05,0.5170542635658915,0.49741554891405504
37,2025-12-13T15:48:49.674647,True,False,True,True,True,6,0.01,31,4,500,10,0.9,0.9,0.1,0.5,0.012544429041700954,0.00959280393236827,0.04088833199001396,0.5704353583843734,0.012948251644294034,0.010273739849781886,0.0011061105286946926,0.5007751937984496,0.014448363472139231,0.010742537651916672,0.002932644172465859,0.5271317829457365,0.48731658052640275
38,2025-12-13T15:48:49.993025,False,False,True,True,True,6,0.05,31,8,500,10,0.8,0.9,0.3,0.3,0.012699098731926239,0.009693513449605203,0.01709130851847629,0.5330243337195828,0.012971575934264727,0.010285781147612822,-0.0024958390932210417,0.48914728682170544,0.014467404628487286,0.010744997988929908,0.00030288951582713164,0.5093023255813953,0.505165079047092
39,2025-12-13T15:48:50.305168,True,False,True,True,True,10,0.03,70,6,800,20,0.9,0.9,0.3,0.3,0.015800142621730896,0.012247521739952097,0.1166096884700285,0.6503230081166143,0.01657717684525022,0.013562850058622563,0.0034543931505699454,0.5116640746500778,0.01860283740743203,0.014240688906418114,0.008781563348730037,0.5147744945567652,0.5038283428506669
40,2025-12-13T15:48:50.601919,True,True,True,True,True,6,0.01,31,8,500,30,0.7,0.8,0.5,0.3,0.01280377635419977,0.00977375000765449,0.0008204537426362846,0.5234232742923357,0.012965911015475385,0.01027612745353462,-0.0016204146311527001,0.48914728682170544,0.014482953354626973,0.010749416180288846,-0.0018470979761937567,0.5085271317829457,0.5059558215716813
41,2025-12-13T15:48:50.986942,True,False,True,True,True,10,0.01,31,6,800,10,0.7,0.7,0.3,0.3,0.016524002722659508,0.012780122150260982,0.03381312576546469,0.5683286400530064,0.016612905115463032,0.013548879045328458,-0.0008458830742197332,0.5038880248833593,0.01864227440174732,0.014191725586733008,0.004574451278882008,0.531104199066874,0.4875380753348733
42,2025-12-13T15:48:51.296712,True,True,True,False,False,16,0.05,70,6,500,30,0.9,0.8,0.5,0.1,0.020674920104369752,0.01605919841071417,0.051453945682858326,0.5929364947769856,0.020595803109581996,0.01694250962027225,0.0033581708984516956,0.51796875,0.023095066668701498,0.017814443702945444,0.003033721602011652,0.53203125,0.4910638166687015
43,2025-12-13T15:48:51.575051,True,True,True,True,True,16,0.03,31,6,500,20,0.8,0.7,0.3,0.3,0.020879918222529253,0.016208039747673413,0.03255044604733315,0.5584480185707179,0.02067198077153913,0.01700742739658073,-0.004028018408493539,0.515625,0.023099146679266262,0.017732479016223202,0.002681439246292161,0.534375,0.4887241466792662
44,2025-12-13T15:48:51.797490,True,False,False,True,True,16,0.01,31,4,300,30,0.8,0.7,0.3,0.5,0.021212560303597246,0.01644704947796021,0.0014796464408007859,0.5524788592273255,0.02067816114730175,0.016988315494843413,-0.004628463823420859,0.515625,0.023172203583754433,0.017771936778290604,-0.003637082260044444,0.53515625,0.48801595358375444
45,2025-12-13T15:48:52.067811,True,False,True,True,True,16,0.01,50,6,500,30,0.7,0.9,0.5,0.3,0.021199728949314836,0.016437672615374925,0.002687279387305175,0.5524788592273255,0.02067274841958695,0.016985755036875598,-0.004102588375194838,0.515625,0.023190556239782147,0.017784165302561696,-0.0052274964192535744,0.53515625,0.48803430623978217
46,2025-12-13T15:48:52.388038,True,True,True,True,True,6,0.03,31,6,800,30,0.7,0.7,0.1,0.3,0.012467564188459264,0.009521515134155825,0.052606061826579675,0.5934447939082933,0.012929158852721096,0.01026343216186428,0.004049768457202063,0.5085271317829457,0.014472986360386547,0.010769637402842784,-0.0004686542163656604,0.5085271317829457,0.5059458545774408
47,2025-12-13T15:48:52.729515,True,True,True,True,True,6,0.05,50,6,500,10,0.7,0.7,0.1,0.1,0.012000111549262737,0.00918772004070038,0.1223164832725907,0.6484025823539149,0.01290952392617749,0.010277809201394596,0.007072480283027427,0.513953488372093,0.01443072994533401,0.010722207689748643,0.005364903729600634,0.5356589147286822,0.4787718152166518
48,2025-12-13T15:48:53.023683,False,False,True,True,True,10,0.01,70,8,500,30,0.7,0.8,0.1,0.1,0.016609176584500448,0.012845658438148649,0.023826930191825135,0.5524267020043068,0.01662950890441936,0.01354726101617538,-0.0028474761805790116,0.4984447900466563,0.018691236407159098,0.014225367789242695,-0.0006611796050424168,0.505443234836703,0.5132480015704561
49,2025-12-13T15:48:53.289230,True,False,False,True,True,6,0.05,31,6,500,20,0.7,0.8,0.3,0.1,0.012669186877214609,0.00966601449175965,0.02171620309116884,0.5456050322794239,0.01295265419092156,0.01027116093334781,0.0004267254388441444,0.49612403100775193,0.014487042880351741,0.01075720778237741,-0.0024129574140636656,0.5007751937984496,0.5137118490819021
50,2025-12-13T15:48:53.521750,True,True,True,False,False,6,0.03,50,4,800,20,0.8,0.8,0.1,0.3,0.01253191524983739,0.00957905843325105,0.04280091602902858,0.5639794735970866,0.012912872109686434,0.010243466321544098,0.006557366839063938,0.5069767441860465,0.014460323202708618,0.010762183708517491,0.001281302507931792,0.5193798449612403,0.4950804782414683
51,2025-12-13T15:48:53.985067,True,True,True,False,False,16,0.03,50,8,500,10,0.7,0.7,0.5,0.3,0.020614104784017703,0.01599419278107663,0.057026038821067715,0.5841485657436578,0.02067683303053576,0.017000512932117344,-0.004499417430141817,0.51796875,0.023144749691756596,0.01777926041072175,-0.0012603189589761588,0.55703125,0.46611349969175664
52,2025-12-13T15:48:54.218859,True,True,False,False,True,16,0.03,70,4,300,10,0.9,0.9,0.1,0.5,0.021141393688342485,0.01639604774538205,0.00816833559572916,0.5524788592273255,0.02067639976117295,0.016987871888349094,-0.004457320629144501,0.515625,0.023234960442382747,0.017833343336457107,-0.00908070793627025,0.53515625,0.48807871044238277
53,2025-12-13T15:48:54.449186,True,True,False,False,True,6,0.03,70,4,300,30,0.8,0.8,0.1,0.5,0.012495014319647979,0.009551111253242872,0.048429669933767516,0.5806985598410859,0.012913870855157609,0.010265967688674424,0.006403685350855448,0.49767441860465117,0.01444792818245655,0.010766849991208999,0.002992721093419748,0.5209302325581395,0.493517695624317
54,2025-12-13T15:48:54.833515,True,True,True,True,True,16,0.05,31,6,300,20,0.8,0.8,0.3,0.3,0.020657093332417085,0.0160434291106358,0.05308899182282256,0.588791245232963,0.02064822975505544,0.016995127096187595,-0.0017221932448618915,0.5125,0.023124989378220648,0.017768123701663606,0.00044864502426877895,0.54765625,0.4754687393782207
55,2025-12-13T15:48:55.078469,True,False,True,True,True,6,0.05,50,4,500,10,0.9,0.7,0.1,0.1,0.012458780031658763,0.00952860271492924,0.05394058476651198,0.5820228439000166,0.012930398512746367,0.01027033908999984,0.0038587739938373833,0.4945736434108527,0.014425176441627878,0.010734758217560817,0.0061303046269372,0.5294573643410853,0.48496781210054263
56,2025-12-13T15:48:55.330988,False,False,True,True,True,6,0.03,31,4,800,10,0.9,0.8,0.1,0.5,0.01219917899125848,0.009329463688611987,0.09295552366582338,0.6124813772554213,0.012968086817974586,0.010308551608749956,-0.0019566055944790772,0.5015503875968992,0.014536405254703224,0.010828031087121779,-0.009255731932954259,0.5186046511627908,0.4959317540919125
57,2025-12-13T15:48:55.589908,True,False,False,True,True,6,0.01,70,4,800,10,0.9,0.7,0.3,0.1,0.01275851661827757,0.009739049348291855,0.00787191622578387,0.5239198808144347,0.012961225492302358,0.01027554851885258,-0.0008966293643324352,0.48914728682170544,0.014472065463262983,0.010742585211415275,-0.00034134125254814407,0.5085271317829457,0.5059449336803172
58,2025-12-13T15:48:55.878182,True,True,False,False,True,10,0.01,50,4,800,30,0.7,0.7,0.1,0.5,0.015975831761872287,0.012392161821488501,0.09685480775967392,0.6307768759317541,0.016514739877501808,0.0135071191840705,0.010947117644729887,0.5272161741835147,0.0186296361759947,0.014311162801497173,0.005923658804835696,0.5334370139968896,0.48519262217910514
59,2025-12-13T15:48:56.193563,True,True,True,False,False,6,0.05,50,8,800,20,0.9,0.7,0.1,0.5,0.011838269342382506,0.009055820836788691,0.14583099268795574,0.6777023671577553,0.012914059944248685,0.010301896775283979,0.006374588017975746,0.4992248062015504,0.014525937445335039,0.01081190956918476,-0.007802705197766713,0.5124031007751938,0.5021228366701412
60,2025-12-13T15:48:56.445235,True,True,True,False,False,6,0.05,31,4,800,10,0.9,0.7,0.1,0.3,0.01238729366822595,0.009477303984302864,0.06476609437390601,0.595762291011422,0.012961578567148361,0.01030967932340939,-0.0009511606641436909,0.4883720930232558,0.014452732231201835,0.010746885639657781,0.002329585478632712,0.5333333333333333,0.48111939889786853
61,2025-12-13T15:48:56.876577,True,True,True,True,True,16,0.03,70,6,300,30,0.9,0.7,0.5,0.5,0.020257506920385252,0.015751584874492557,0.08936836424927286,0.6136627424970983,0.02061429340589652,0.016977317220617554,0.001567857135380879,0.51640625,0.023013431374716287,0.017742240588440428,0.010069318763216262,0.56640625,0.4566071813747163
62,2025-12-13T15:48:57.180934,True,True,True,True,True,16,0.01,50,6,300,10,0.8,0.9,0.3,0.1,0.02118604230001972,0.016427633348229272,0.003974603698458368,0.5524788592273255,0.02067116234859474,0.01698398371878262,-0.003948519176190546,0.515625,0.023194437293808785,0.017792029954354572,-0.005563984137509026,0.53515625,0.48803818729380877
