combination_id,timestamp,use_ema,use_macd,use_rsi,use_bollinger,use_atr,prediction_horizon,learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,train_rmse,train_mae,train_r2,train_direction_acc,val_rmse,val_mae,val_r2,val_direction_acc,test_rmse,test_mae,test_r2,test_direction_acc,combined_score
0,2025-12-13T14:59:16.529652,True,True,False,False,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.0020327039731113765,0.0013567025878196738,0.002615097433624425,0.5381740523224773,0.002256088290009872,0.001612718633375325,-0.0008741449288303116,0.5267683772538142,0.0015684428105947887,0.0011492189061873199,0.0003038900372996922,0.5067961165048543,0.4947723263057404
1,2025-12-13T14:59:17.124010,True,True,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.0020335905023979944,0.0013568805936238825,0.0017449227750050422,0.5334875719285757,0.0022562450798160076,0.0016124436439524264,-0.0010132638779987158,0.5395284327323162,0.001568570519564032,0.0011491740704748978,0.00014108479300467547,0.5015256588072122,0.5000429117123518
2,2025-12-13T14:59:17.601471,True,False,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.0020299009812148184,0.001354563220303095,0.005363883583784701,0.5480215934033339,0.0022557497109580034,0.001611862163961489,-0.0005737581111240342,0.5586685159500694,0.0015686803609853614,0.0011491630102140663,1.046754083078305e-06,0.49958391123439666,0.5019847691265886
3,2025-12-13T14:59:18.035357,True,True,True,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.0020295971443257213,0.0013548186271993225,0.005661616851478146,0.5422673073500622,0.0022561871132844922,0.001612635778344871,-0.0009618292869197909,0.5112343966712899,0.0015679774281776885,0.0011489862151038306,0.0008970541190299608,0.5151178918169209,0.4864500856112568
4,2025-12-13T14:59:18.533877,False,False,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.0020303757502373393,0.0013551339593436008,0.0048985627187270175,0.5387079551521623,0.00225608347431763,0.0016129768426398797,-0.0008698721379725161,0.5098474341192788,0.001568366026374308,0.0011492729149371619,0.00040176929315893783,0.5026352288488211,0.4989331371775533
5,2025-12-13T14:59:18.967609,True,False,False,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.0020330567923642893,0.0013568977869033482,0.002268832418712785,0.5340214747582607,0.002256188253951997,0.0016130025287326953,-0.0009628414059184021,0.5034674063800277,0.0015684769005151098,0.0011492648386161027,0.0002604330099074126,0.5040221914008322,0.49754628549968294
6,2025-12-13T14:59:19.376677,True,True,True,False,False,6,0.05,70,4,300,30,0.8,0.9,0.5,0.5,0.0015918802070666565,0.001037717766770752,1.0180754460242802e-05,0.5045370974438053,0.0017482263154567407,0.0012199140969342932,-0.0007135405630267488,0.5164865613743419,0.001242658628659731,0.0008859113549087465,-8.103414400495446e-05,0.5067885840953172,0.4944540745333425
7,2025-12-13T14:59:20.058378,True,False,True,True,True,6,0.05,50,4,500,20,0.8,0.8,0.1,0.1,0.001587806024898661,0.00103540537074399,0.00512228289775174,0.5363264337821007,0.0017481203168725442,0.0012194757338452767,-0.0005921935705939241,0.5098365198115822,0.0012415241498618314,0.0008853549452833921,0.0017441699836767688,0.5203657522859518,0.48087577186391
8,2025-12-13T14:59:20.462198,True,True,True,False,False,10,0.03,31,4,300,30,0.9,0.9,0.3,0.5,0.002032713247707026,0.001356642359389816,0.002605995899014557,0.539835083348164,0.0022562014742183068,0.0016125465019950595,-0.0009745718402700554,0.5201109570041609,0.0015682461024264475,0.0011490628867431541,0.0005546305270534013,0.5092926490984744,0.49227559700395207
9,2025-12-13T14:59:20.890129,True,False,False,True,True,10,0.05,50,8,800,10,0.9,0.7,0.5,0.5,0.0020346771772132973,0.0013577278904187832,0.0006777772676002103,0.5134365545470725,0.002256562749654668,0.0016131327098291273,-0.001295160654929406,0.5184466019417475,0.0015685605975565308,0.0011492632755487054,0.00015373398684914719,0.4954230235783634,0.5061455370191931
