combination_id,timestamp,use_ema,use_macd,use_rsi,use_bollinger,use_atr,prediction_horizon,learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,train_rmse,train_mae,train_r2,train_direction_acc,val_rmse,val_mae,val_r2,val_direction_acc,test_rmse,test_mae,test_r2,test_direction_acc,combined_score
0,2025-12-13T15:15:23.377245,True,True,False,False,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005224183359621895,0.002908060885500258,0.006801499987927007,0.5529728713739741,0.0034638537783889013,0.002413198626493239,-0.005274672462193042,0.5616759449164958,0.0037910431449760377,0.0024350091062534055,-0.0009695272432488355,0.5616759449164958,0.4421150982284803
1,2025-12-13T15:15:23.862508,True,True,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005224377958482114,0.002908024457215084,0.006727506070606681,0.5529728713739741,0.0034625861041863147,0.0024123523824557563,-0.004539001928734798,0.5616759449164958,0.0037899618013951713,0.002432955344230019,-0.0003985827497499095,0.5616759449164958,0.44211401688489943
2,2025-12-13T15:15:24.299904,True,False,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005224252161070985,0.002907829284994642,0.00677533936480168,0.5529728713739741,0.003462702310365835,0.002412456490303528,-0.004606428756488201,0.5616759449164958,0.0037899413596895622,0.0024327734637767163,-0.00038779119076193247,0.5616759449164958,0.4421139964431938
3,2025-12-13T15:15:24.727933,True,True,True,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005207197415101507,0.0029036022124918483,0.01324958466273829,0.5585489630975503,0.0034625020691813257,0.002412247544108449,-0.004490243334361432,0.5616759449164958,0.0037899545403677327,0.0024328818264790393,-0.0003947495107983201,0.5616759449164958,0.442114009623872
4,2025-12-13T15:15:25.224759,False,False,True,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005224811461064723,0.0029083692837213277,0.0065626619268159825,0.5530355240899693,0.003463018611411029,0.0024122005959115933,-0.004789968978990977,0.5616759449164958,0.0037900764042588333,0.0024321697648517163,-0.00045908482433310027,0.5616759449164958,0.4421141314877631
5,2025-12-13T15:15:25.669042,True,False,False,True,True,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005171375809249623,0.0028969469681196713,0.0267790905741071,0.5582983522335693,0.0034624125428299856,0.002412919694300038,-0.004438299865705542,0.5572809844711397,0.003790204914426017,0.0024328132973961527,-0.0005269311314972658,0.5616759449164958,0.44211425999793025
6,2025-12-13T15:15:26.041285,True,True,True,False,False,6,0.05,70,4,300,30,0.8,0.9,0.5,0.5,0.003992439172140069,0.002192190091474511,0.00581656402816122,0.5438772314437833,0.002673151724103201,0.0018081092402323726,-0.0031072230540378776,0.5522388059701493,0.0029422798054671616,0.0018591780004991781,-0.0005998725913913816,0.5469710272168569,0.4559712525886103
7,2025-12-13T15:15:26.477195,True,False,True,True,True,6,0.05,50,4,500,20,0.8,0.8,0.1,0.1,0.0039855028909965865,0.002191076376814917,0.009268060810623813,0.5438145944253053,0.002672342623181521,0.0018071746193313142,-0.002500080449373332,0.5522388059701493,0.0029414609910412065,0.0018582371712315014,-4.303118870896405e-05,0.5472636815920398,0.45567777939900145
8,2025-12-13T15:15:26.924911,True,True,True,False,False,10,0.03,31,4,300,30,0.9,0.9,0.3,0.5,0.005226269949163607,0.0029083554053644274,0.006007955302321677,0.5492137084142598,0.0034628766551390547,0.002413573667507813,-0.004707593842936619,0.5616759449164958,0.0037899323849277093,0.0024339663672208987,-0.0003830532643911422,0.5610899501904483,0.4426999821944794
9,2025-12-13T15:15:27.362937,True,False,False,True,True,10,0.05,50,8,800,10,0.9,0.7,0.5,0.5,0.005163516771069929,0.0028909036779468235,0.029734887530234455,0.5644383184011027,0.003462916380130555,0.0024152546431611696,-0.004730645330777161,0.55259302666276,0.0037896956870064934,0.002434184967528653,-0.0002581005365664968,0.5616759449164958,0.44211375077051074
