combination_id,timestamp,use_ema,use_macd,use_rsi,use_bollinger,use_atr,use_momentum,use_sma,use_stochastic,use_adx,use_cci,use_williams,use_roc,use_obv,use_mfi,use_volatility,use_volume_features,use_returns,prediction_horizon,learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,train_rmse,train_mae,train_r2,train_direction_acc,val_rmse,val_mae,val_r2,val_direction_acc,test_rmse,test_mae,test_r2,test_direction_acc,test_confidence_mean,combined_score
0,2025-12-30T09:01:46.775323,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.0054444145390885774,0.004270083854019053,0.21735848446086625,0.6937086092715232,0.00631274949033522,0.005106107229274697,-0.07236994369470451,0.45144356955380577,0.0057338845489036516,0.004643969251370287,-0.0019120097603810837,0.5669291338582677,0.8354800696288261,0.43880475069063596
1,2025-12-30T09:01:47.455217,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005340693978401521,0.004186966685384264,0.24689436252246344,0.7213024282560706,0.006344114672047721,0.005139992209616008,-0.08305265394737416,0.42782152230971127,0.005740944885950551,0.004653717076390665,-0.0043809090044308885,0.5905511811023622,0.8544405624916599,0.4151897637835884
2,2025-12-30T09:01:47.788192,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.0053982066024638444,0.004243165850411242,0.23058700787498865,0.7064017660044151,0.00637453515627204,0.005165811901866393,-0.09346418635495368,0.4330708661417323,0.005749937983435134,0.004681303231724674,-0.007530066585646145,0.5616797900262467,0.8336644897086253,0.44407014795718847
3,2025-12-30T09:01:48.103756,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005760326833232916,0.004507207681699404,0.12389781763257934,0.6815673289183223,0.006199700580765054,0.005012012534862089,-0.03430578307807286,0.47244094488188976,0.005725868180373207,0.0045983699196044045,0.0008875169488599122,0.5511811023622047,0.737307731038901,0.45454476581816844
4,2025-12-30T09:01:48.516746,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005445422412071207,0.004286765041987403,0.2170686915934147,0.7025386313465783,0.00628268571330632,0.005092936633641763,-0.06218017696645983,0.4015748031496063,0.005753330621898162,0.004682003100189509,-0.008719364168711996,0.5643044619422573,0.8271079722142246,0.4414488686796409
5,2025-12-30T09:01:48.924610,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,10,0.03,50,6,500,20,0.8,0.8,0.3,0.3,0.005400083964051741,0.004247511507982242,0.23005174952801355,0.7130242825607064,0.00635838161502005,0.005155229327876335,-0.08792937061250128,0.4304461942257218,0.0057443436456434275,0.004669227199057322,-0.005570490125181404,0.5485564304461942,0.8198340288238104,0.45718791319944924
6,2025-12-30T09:01:49.170888,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0.07,50,6,500,30,0.65,0.82,0.5,0.5,0.0047440500777173366,0.0037756706974051567,0.0,0.5077092511013216,0.004869035393195757,0.003986329509135468,-0.0024005161199120995,0.5064935064935064,0.004573146907132076,0.0037124037666124965,-1.4197834611540117e-05,0.5012987012987012,0.5683851033352897,0.5032744456084308
7,2025-12-30T09:01:49.457224,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.03,50,4,400,12,0.6,0.85,0.6,1.0,0.00547951280139288,0.004331000889888177,0.0016632987705313962,0.5049614112458655,0.005600752063073428,0.004533116429955232,-0.004308074703852638,0.5169712793733682,0.005203794104159414,0.004222493702291126,-0.0006797424677011943,0.5274151436031331,0.6155817280624265,0.47778865050102626
8,2025-12-30T09:01:50.110910,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.1,35,2,1200,30,0.8,1.0,0.6,0.3,0.005440433415235662,0.004301362803602854,0.015852612072541294,0.5650496141124587,0.005607960191889918,0.004546188537542833,-0.006894813156356205,0.47780678851174935,0.005231736117413618,0.004254197071001909,-0.011454986462978933,0.4464751958224543,0.5589660193804626,0.5587565402949592
9,2025-12-30T09:01:51.079532,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.07,63,4,1200,18,0.7,0.87,0.05,0.1,0.002071260115623748,0.0016414074851030518,0.8093789947979784,0.8805066079295154,0.0058807847550593675,0.004813797181214019,-0.4622646680731004,0.4649350649350649,0.005093335249716615,0.004083681782729872,-0.24045320689879657,0.5194805194805194,0.9300839445074365,0.4856128157691972
10,2025-12-30T09:01:51.250129,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.015,60,8,150,10,0.87,0.95,1.0,0.01,0.0047440500777173366,0.0037756706974051567,0.0,0.5077092511013216,0.004869035393195757,0.003986329509135468,-0.0024005161199120995,0.5064935064935064,0.004573146907132076,0.0037124037666124965,-1.4197834611540117e-05,0.5012987012987012,0.5683851033352897,0.5032744456084308
11,2025-12-30T09:01:51.439185,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.05,35,3,250,40,0.95,0.82,0.6,0.7,0.0047440500777173366,0.0037756706974051567,0.0,0.5077092511013216,0.004869035393195757,0.003986329509135468,-0.0024005161199120995,0.5064935064935064,0.004573146907132076,0.0037124037666124965,-1.4197834611540117e-05,0.5012987012987012,0.5683851033352897,0.5032744456084308
12,2025-12-30T09:01:51.983950,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.001,31,3,600,10,0.6,0.8,0.15,0.4,0.005340358963035972,0.004212017041267088,0.05172555851183114,0.6256890848952591,0.005638932632384506,0.004572061047612678,-0.01804757024640624,0.4412532637075718,0.005173617686114136,0.004200953558307422,0.010892343110743608,0.5691906005221932,0.7410684788048078,0.43598301716392096
13,2025-12-30T09:01:52.384570,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,0.15,20,12,1200,5,0.9,0.7,1.0,0.25,0.005484075527517878,0.004334545257355376,0.0,0.5049614112458655,0.005599743482530725,0.004531771122626954,-0.00394639671201813,0.5169712793733682,0.005202149169059101,0.004219929538497171,-4.7206653099207685e-05,0.5274151436031331,0.6212826568343635,0.47778700556592596
14,2025-12-30T09:01:52.599024,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.1,60,9,300,50,0.6,0.75,0.25,0.4,0.00446921331756429,0.0035501084977799216,0.11250965114417222,0.6409691629955947,0.004942668067084977,0.004041350462198491,-0.03294764550385332,0.41818181818181815,0.004567395849710784,0.003680095356914134,0.002499398582649248,0.5376623376623376,0.7966542061252204,0.46690505818737316
15,2025-12-30T09:01:53.198429,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.1,80,10,1500,50,0.5,0.87,0.2,0.3,0.004362290848186911,0.0034259078545470665,0.367264237850632,0.7298787210584344,0.006030127507816221,0.004863720088049499,-0.1641990761359553,0.47780678851174935,0.005271795800428102,0.00426393556179358,-0.0270038183005763,0.5718015665796344,0.9108402810133526,0.43347022922079365
16,2025-12-30T09:01:53.725712,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,8,0.03,50,15,200,3,0.85,0.65,0.05,0.0,0.002801797917593178,0.0021728569967976404,0.7389842213296414,0.8754134509371555,0.006474684870201355,0.005257235554299531,-0.34218237271340146,0.42036553524804177,0.0055927296789379955,0.004515848814223307,-0.1558528698427506,0.47780678851174935,0.905330126124569,0.5277859411671886
17,2025-12-30T09:01:54.130964,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.05,45,12,700,40,0.82,0.87,0.25,0.6,0.004334098005756898,0.0034443171382835397,0.16536051605287516,0.6822687224669604,0.004940393539593364,0.004044243736428334,-0.03199717616475639,0.44415584415584414,0.004587319395292627,0.0036962471684364247,-0.0062220239655634835,0.5454545454545454,0.8045148304446305,0.4591327739407472
18,2025-12-30T09:01:54.540799,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.025,45,9,300,7,0.95,0.85,0.15,0.5,0.0037171725238968082,0.002937151898154262,0.38605861844956924,0.7907488986784141,0.0050887917470328285,0.004160841718534446,-0.09492601649194832,0.4597402597402597,0.004606430010983629,0.003707586301647551,-0.014623260289280848,0.522077922077922,0.8056160737763646,0.4825285079330616
19,2025-12-30T09:01:54.697557,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.008,35,4,100,12,0.9,0.82,1.0,0.2,0.0047440500777173366,0.0037756706974051567,0.0,0.5077092511013216,0.004869035393195757,0.003986329509135468,-0.0024005161199120995,0.5064935064935064,0.004573146907132076,0.0037124037666124965,-1.4197834611540117e-05,0.5012987012987012,0.5683851033352897,0.5032744456084308
20,2025-12-30T09:01:55.390654,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,6,0.05,63,4,500,3,0.7,1.0,0.08,1.0,0.0030168868313204694,0.002377539309963203,0.5955922132792741,0.8171806167400881,0.005239964509164031,0.0042644230012552015,-0.16094624083849207,0.4935064935064935,0.004850945872814114,0.00391726794998184,-0.1251973946134839,0.548051948051948,0.9147240450244285,0.4567989978208661
